,1,2,3,4,5,6,7,8,9,10,11,12
0,0.9608,0.9624,0.9588,0.961,0.9564,0.9591,0.9583,0.9493,0.9363,0.8712,0.803,0.1135
1,0.9608,0.9626,0.9602,0.9607,0.9607,0.9588,0.9556,0.9506,0.9343,0.8823,0.6043,0.1135
2,0.9608,0.961,0.9604,0.9598,0.961,0.959,0.9543,0.9512,0.93,0.869,0.7113,0.1574
3,0.9608,0.9612,0.9604,0.9595,0.961,0.9585,0.9563,0.9477,0.9385,0.8774,0.7375,0.1135
4,0.9608,0.9614,0.9605,0.96,0.9589,0.9595,0.954,0.9521,0.9311,0.8584,0.7174,0.1135
