,1,2,3,4,5,6,7,8,9,10,11,12
0,0.9608,0.9589,0.9575,0.9538,0.9528,0.9441,0.9322,0.9049,0.8239,0.5615,0.3429,0.101
1,0.9608,0.9587,0.9556,0.9529,0.9544,0.9468,0.9356,0.8872,0.8301,0.5774,0.3561,0.101
2,0.9608,0.9569,0.9558,0.9555,0.9529,0.946,0.9314,0.9027,0.8084,0.5745,0.3872,0.101
3,0.9608,0.9586,0.9558,0.9546,0.9544,0.9456,0.9344,0.9046,0.8286,0.6246,0.3582,0.101
4,0.9608,0.9591,0.9566,0.9549,0.9537,0.9454,0.9301,0.9064,0.8263,0.6069,0.3472,0.101
