,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.9623,0.9491,0.9333,0.8833,0.8557,0.8305,0.5997,0.4891,0.4142,0.2408,0.2064,0.101,0.101
1,0.9623,0.9546,0.9289,0.8693,0.8122,0.7413,0.6863,0.5571,0.2805,0.2614,0.2157,0.101,0.101
2,0.9623,0.9567,0.9349,0.8884,0.8482,0.7626,0.7253,0.5286,0.396,0.137,0.1729,0.101,0.101
3,0.9623,0.9494,0.9255,0.9009,0.8575,0.7452,0.5893,0.4674,0.3357,0.3474,0.1524,0.101,0.101
4,0.9623,0.9535,0.9272,0.8928,0.8633,0.7684,0.6426,0.5863,0.4053,0.2399,0.1481,0.101,0.101
