,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.9623,0.9459,0.9366,0.849,0.7687,0.6797,0.6271,0.4873,0.2791,0.1696,0.0662,0.101,0.101
1,0.9623,0.943,0.9123,0.8367,0.7171,0.7135,0.5888,0.363,0.3344,0.1912,0.2309,0.101,0.101
2,0.9623,0.9493,0.8895,0.8863,0.7142,0.7429,0.5452,0.3431,0.2388,0.226,0.1614,0.101,0.101
3,0.9623,0.945,0.9026,0.8376,0.7796,0.6201,0.5357,0.4187,0.313,0.1929,0.2214,0.101,0.101
4,0.9623,0.9522,0.9072,0.8264,0.6061,0.7477,0.5995,0.4175,0.3241,0.2471,0.1478,0.0915,0.101
